symbol,name
AAPL,Apple Inc.
ABNB,Airbnb
ADBE,Adobe Inc.
ADI,Analog Devices
ADP,Automatic Data Processing
ADSK,Autodesk
AEP,American Electric Power
ALNY,Alnylam Pharmaceuticals
AMAT,Applied Materials
AMD,Advanced Micro Devices
AMGN,Amgen
AMZN,Amazon
APP,AppLovin
ARM,Arm Holdings
ASML,ASML Holding
AVGO,Broadcom
AXON,Axon Enterprise
BKNG,Booking Holdings
BKR,Baker Hughes
CCEP,Coca-Cola Europacific Partners
CDNS,Cadence Design Systems
CEG,Constellation Energy
CHTR,Charter Communications
CMCSA,Comcast
COST,Costco
CPRT,Copart
CRWD,CrowdStrike
CSCO,Cisco
CSGP,CoStar Group
CSX,CSX Corporation
CTAS,Cintas
CTSH,Cognizant
DASH,DoorDash
DDOG,Datadog
DXCM,DexCom
EA,Electronic Arts
EXC,Exelon
FANG,Diamondback Energy
FAST,Fastenal
FER,Ferrovial
FTNT,Fortinet
GEHC,GE HealthCare
GILD,Gilead Sciences
GOOG,Alphabet Inc. (Class C)
GOOGL,Alphabet Inc. (Class A)
HON,Honeywell
IDXX,Idexx Laboratories
INSM,Insmed Incorporated
INTC,Intel
INTU,Intuit
ISRG,Intuitive Surgical
KDP,Keurig Dr Pepper
KHC,Kraft Heinz
KLAC,KLA Corporation
LIN,Linde plc
LRCX,Lam Research
MAR,Marriott International
MCHP,Microchip Technology
MDLZ,Mondelez International
MELI,Mercado Libre
META,Meta Platforms
MNST,Monster Beverage
MPWR,Monolithic Power Systems
MRVL,Marvell Technology
MSFT,Microsoft
MSTR,MicroStrategy
MU,Micron Technology
NFLX,"Netflix, Inc."
NVDA,Nvidia
NXPI,NXP Semiconductors
ODFL,Old Dominion Freight Line
ORLY,O'Reilly Automotive
PANW,Palo Alto Networks
PAYX,Paychex
PCAR,Paccar
PDD,PDD Holdings
PEP,PepsiCo
PLTR,Palantir Technologies
PYPL,PayPal
QCOM,Qualcomm
REGN,Regeneron Pharmaceuticals
ROP,Roper Technologies
ROST,Ross Stores
SBUX,Starbucks
SHOP,Shopify
SNDK,Sandisk
SNPS,Synopsys
STX,Seagate Technology
TMUS,T-Mobile US
TRI,Thomson Reuters
TSLA,"Tesla, Inc."
TTWO,Take-Two Interactive
TXN,Texas Instruments
VRSK,Verisk Analytics
VRTX,Vertex Pharmaceuticals
WBD,Warner Bros. Discovery
WDAY,"Workday, Inc."
WDC,Western Digital
WMT,Walmart
XEL,Xcel Energy
ZS,Zscaler
